"ISO3","Year","GDP_USD","Population_Total","Health_Exp_Percent_GDP","Polity_Score","Inactivity_Adolescents_Percent","Is_Host","GDP_per_Capita","Health_Exp_per_Capita_USD","Log_Population","Log_GDP_per_Capita"
"SAU",1984,119624858115.778,7697307,NA,-10,NA,0,15541.131218461,NA,15.8563810853908,9.65124541525304
"SAU",1985,103897846493.65,8151779,NA,-10,NA,0,12745.41992535,NA,15.9137467436055,9.45292726450988
"SAU",1986,86961922765.3254,8628639,NA,-10,NA,0,10078.2896080512,NA,15.9705973449449,9.21813884548683
"SAU",1987,85695861148.1976,9130194,NA,-10,NA,0,9385.98469519899,NA,16.0270975009763,9.14697286575416
"SAU",1988,88256074766.3551,9629165,NA,-10,NA,0,9165.49615323396,NA,16.0803070718114,9.12320129445871
"SAU",1989,95344459279.0387,10128394,NA,-10,NA,0,9413.58119352769,NA,16.1308533246631,9.14990873334961
"SAU",1990,117630173564.753,10640691,NA,-10,NA,0,11054.7495049666,NA,16.180195983378,9.31061543405397
"SAU",1991,132223230974.633,11160744,NA,-10,NA,0,11847.1699534218,NA,16.227913179362,9.3798442955446
"SAU",1992,137087850467.29,11686676,NA,-10,NA,0,11730.2687665244,NA,16.2739599474199,9.3699278541322
"SAU",1993,132967957276.368,12215862,NA,-10,NA,0,10884.8607880777,NA,16.3182458291567,9.29512818425087
"SAU",1994,135174899866.489,12750040,NA,-10,NA,0,10601.9196697806,NA,16.3610449668187,9.26879036462606
"SAU",1995,143343124165.554,13289245,NA,-10,NA,0,10786.4008952769,NA,16.4024656194444,9.28604144332039
"SAU",1996,158662483311.081,13831009,NA,-10,NA,0,11471.5045960191,NA,16.4424236583188,9.34762137815687
"SAU",1997,165963684913.218,14374943,NA,-10,NA,0,11545.3455998551,NA,16.4809971794224,9.35403765636481
"SAU",1998,146775466666.667,14922185,NA,-10,NA,0,9836.05729768576,NA,16.5183595897386,9.19381022862267
"SAU",1999,161717066666.667,15472075,NA,-10,NA,0,10452.1899400479,NA,16.5545473441299,9.25456679907851
"SAU",2000,189514933333.333,16177722,4.21160603,-10,NA,0,11714.5623675158,493.371215058408,16.5991456685825,9.36858799365136
"SAU",2001,184137600000,17041397,4.4617486,-10,NA,0,10805.311325122,482.105826774272,16.6511560595731,9.2877930815867
"SAU",2002,189605866666.667,17910910,4.24939442,-10,NA,0,10586.0543471363,449.843202725377,16.7009205823497,9.26729278627367
"SAU",2003,215807733333.333,18786767,3.97910738,-10,NA,0,11487.220410693,457.08883511875,16.7486632969795,9.34899042779913
"SAU",2004,258742133333.333,19669480,3.58402061,-10,NA,0,13154.4978989446,471.459915840192,16.7945787538185,9.48451902466879
"SAU",2005,328459608764.111,20559890,3.41868114,-10,NA,0,15975.7473782258,546.15986259345,16.8388526483424,9.67882706239087
"SAU",2006,376900133511.348,21459144,3.61922765,-10,NA,0,17563.6145370639,635.667193664837,16.8816614062072,9.77358468524766
"SAU",2007,415964509673.115,22368313,3.56229854,-10,NA,0,18596.1502627898,662.450389307568,16.9231559171223,9.83070986316016
"SAU",2008,519796800000,23287877,2.97101164,-10,NA,0,22320.4888964331,663.144323217935,16.9634434827035,10.0132603202174
"SAU",2009,429097866666.667,24217654,4.29043579,-10,NA,0,17718.3911648365,760.196195948343,17.0025924293003,9.78235842798511
"SAU",2010,528207466666.667,23978487,3.64786696,-10,NA,0,22028.3901426586,803.566365833939,16.9926676113279,10.0000873614412
"SAU",2011,680660800000,25091867,3.68218112,-10,NA,0,27126.7498747702,998.856062358411,17.0380543276905,10.2082756002742
"SAU",2012,751921333333.333,26168861,3.98779416,-10,NA,0,28733.4375513452,1145.83034463979,17.0800807504411,10.2658167950541
"SAU",2013,769755733333.333,27624004,4.42293453,-10,NA,0,27865.465604962,1232.47130018714,17.1341956628536,10.2351434091754
"SAU",2014,787153066666.667,28309273,5.15801096,-10,NA,0,27805.4850319423,1434.20996542874,17.1586999767866,10.2329885835243
"SAU",2015,693414400000,29816382,5.86202717,-10,NA,0,23256.1549553531,1363.2821221801,17.2105685319722,10.0543251052434
"SAU",2016,689279466666.667,30954198,6.24142838,-10,NA,0,22267.7217050387,1389.82390207771,17.2480191860229,10.010893451697
"SAU",2017,741266133333.333,30977355,6.03126049,-10,NA,0,23929.2907135981,1443.23785634648,17.2487670116451,10.0828585404129
"SAU",2018,886564800000,30196281,5.34062767,-10,NA,0,29360.0658968566,1568.01180321776,17.2232293290667,10.2873907271693
"SAU",2019,888890133333.333,30063799,5.46743679,NA,NA,0,29566.7933827436,1616.54573903141,17.2188323148759,10.2944071653952
"SAU",2020,767951200000,31552510,6.64630127,NA,NA,0,24338.8307301067,1617.63201591823,17.267163700047,10.0998283263616
"SAU",2021,982661066666.667,30784383,5.93034029,NA,NA,0,31920.7653655643,1893.01000935043,17.2425180738982,10.3710120288942
"SAU",2022,1239075200000,32175224,4.62462378,NA,NA,0,38510.2276211037,1780.95314429769,17.2867072733492,10.5586791374927
"SAU",2023,1218584533333.33,33702731,NA,NA,NA,0,36156.8483377009,NA,17.3330894306148,10.495621651905
"SAU",2024,1237529866666.67,35300280,NA,NA,NA,0,35057.225230697,NA,17.3794014538834,10.4647370118948
"SCG",1992,NA,NA,NA,-5,NA,0,NA,NA,NA,NA
"SCG",1993,NA,NA,NA,-7,NA,0,NA,NA,NA,NA
"SCG",1994,NA,NA,NA,-7,NA,0,NA,NA,NA,NA
"SCG",1995,NA,NA,NA,-7,NA,0,NA,NA,NA,NA
"SCG",1996,NA,NA,NA,-7,NA,0,NA,NA,NA,NA
"SCG",1997,NA,NA,NA,-6,NA,0,NA,NA,NA,NA
